No,Name Cafe,Place,Address,Phone,Rating,Reviews,Type,Hours
125,Kopi Calf To Go Jakal,,"Kaliurang St No.Km. 5, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281",85133844639,4.5,288,Cafe,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
126,Kopi dibawahtangga Kotabaru Jogja,,"Jl. Juadi No.1, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,4.9,69,,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
127,Kopi Kenangan - Alfamidi Super Kaliurang KM 9,,"Alfamidi Super, Jl. Kaliurang No.1 Blok A, Gondangan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",817439772,4.3,69,Cafe,Open 24 Hours
128,Kopi Kenangan - Godean Yogyakarta,,"Jl. Godean No.23B, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",81944218570,4.2,85,Cafe,
129,Kopi Kenangan - Hartono Mall Jogja,,"Hartono Mall Yogyakarta, Catur, Jl. Ring Road Utara Sanggrahan No.2, Kaliwaru, Condong, Yogyakarta, Daerah Istimewa Yogyakarta 55281",8179138020,3.7,72,Cafe,"{Monday, 10.00 am–9.00 pm; Tuesday, 10.00 am–9.00 pm; Wednesday, 10.00 am–9.00 pm; Thursday, 10.00 am–9.00 pm; Friday, 10.00 am–9.00 pm; Saturday, 10.00 am–9.00 pm; Sunday, 10.00 am–9.00 pm}"
130,Kopi Kenangan - Jogya City Mall,,"Jogja City Mall, Jl. Magelang Lantai 2, Kutu Patran, Sinduadi, Kec. Mlati, Yogyakarta, Daerah Istimewa Yogyakarta 55284",8179138021,4.3,132,Cafe,"{Monday, 10.00 am–9.00 pm; Tuesday, 10.00 am–9.00 pm; Wednesday, 10.00 am–9.00 pm; Thursday, 10.00 am–9.00 pm; Friday, 10.00 am–9.00 pm; Saturday, 10.00 am–9.00 pm; Sunday, 10.00 am–9.00 pm}"
131,Kopi Kenangan - Kota Baru Jogja,,"Jl. Suroto No.4, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,4.1,114,Cafe,Open 24 Hours
132,Kopi Kenangan - Lippo Plaza Jogja,,"Lippo Plaza Jogja, Jl. Laksda Adisucipto No.32-34 Ground Floor, Demangan, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55221",8170110206,4.3,86,Cafe,"{Monday, 12.00 am–8.00 pm; Tuesday, 12.00 am–8.00 pm; Wednesday, 12.00 am–8.00 pm; Thursday, 12.00 am–8.00 pm; Friday, 12.00 am–8.00 pm; Saturday, 12.00 am–8.00 pm; Sunday, 12.00 am–8.00 pm}"
133,Kopi Kenangan - Pakuwon Jogja,,"Jl. Ring Road Utara, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",8179275317,4.1,53,Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
134,Kopi Kenangan - Ramai Malioboro,,"Ramai Malioboro, Jl. Jend. Ahmad Yani No.73 Ground Floor, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",8170110220,4.6,972,Cafe,Open 24 Hours
135,Kopi Kenangan - RSUP Dr. Sardjito Yogyakarta,,"69JF+VCM JL. Kesehatan Sekip, Sendowo, Sinduadi, Sleman Regency, Special Region of Yogyakarta 55281",8179275304,4.5,86,Cafe,
136,Kopi Kenangan - Ruko Colombo Yogyakarta,,"Jl. Colombo No.06, Samirono, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81944219460,4.6,200,Cafe,Open 24 Hours
137,Kopi Kenangan - Ruko Jalan Seturan,,"Depan Sekolah Budi Mulia Dua, Jl. Seturan Raya, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",8174863154,4.6,739,Cafe,Open 24 Hours
138,Kopi Kenangan - Ruko Kaliurang KM 5 Yogyakarta,,"Jl. Kaliurang No.KM 5 No 36, RT.013/RW.05, Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",81944215057,4,126,Cafe,
139,Kopi Kenangan - Ruko Kaliurang Yogyakarta,,"Kaliurang St No.51 B, Kentungan, Condong Catur, Depok, Sleman Regency, Special Region of Yogyakarta 55281",8170739149,4.5,499,Cafe,Open 24 Hours
140,Kopi Kenangan - Ruko Taman Siswa Yogyakarta,,"Jl. Taman Siswa No.151, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",817439816,4.5,362,Cafe,Open 24 Hours
141,Kopi Kenangan - Sleman City Hall,,"Jl. Gito Gati Jl. Grojogan No.Km. 1, Penggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",8179140008,4.3,136,Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
142,Kopi Kenangan - SPBU Pertamina COCO Adisucipto,,"SPBU Pertamina COCO, Jl. Laksda Adisucipto No.01 41.552, Ngentak, Caturtunggal, Container, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55282",8176562256,4.4,153,Cafe,Open 24 Hours
143,Kopi Kenangan - SPBU Terban Yogyakarta,,"SPBU, SPBU Pertamina 44, Jl. C. Simanjuntak No.17 552, RW.06, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",,4.2,80,Cafe,Open 24 Hours
144,Kopi Kenangan - SPBU Timoho Yogyakarta,,"Jl. Ipda Tut Harsono No.28, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",81882883959,4.3,23,Cafe,"{Monday, 6.00 am–12.00 am; Tuesday, 6.00 am–12.00 am; Wednesday, 6.00 am–12.00 am; Thursday, 6.00 am–12.00 am; Friday, 6.00 am–12.00 am; Saturday, 6.00 am–12.00 am; Sunday, 6.00 am–12.00 am}"
145,Kopi Kenangan - Super Indo Parangtritis Yogyakarta,,"59G9+74H, Brontokusuman, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55143",8176562184,4.5,161,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
146,KOPI PAKPOS NOL KM,,"Jl. Panembahan Senopati No.2, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",,4.6,704,Cafe,"{Monday, 7.00 am–1.00 am; Tuesday, 7.00 am–1.00 am; Wednesday, 7.00 am–1.00 am; Thursday, 7.00 am–1.00 am; Friday, 7.00 am–1.00 am; Saturday, 7.00 am–1.00 am; Sunday, 7.00 am–1.00 am}"
147,Kopi Pakpos Toegoe,,"Jl. Jend. Sudirman No.19, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",,4.7,88,Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
148,Kopi Pangerten,,"Jl. KH. Ali Maksum, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",81226028997,4.8,32,Cafe,"{Monday, 3.00 pm–12.00 am; Tuesday, 3.00 pm–12.00 am; Wednesday, 3.00 pm–12.00 am; Thursday, 3.00 pm–12.00 am; Friday, 3.00 pm–12.00 am; Saturday, 3.00 pm–12.00 am; Sunday, 3.00 pm–12.00 am}"
149,Kopi Zop,,"Garrya Bianti Yogyakarta, Jl. Gabugan Raya, Gabugan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512",8887088881,5,50,Cafe,"{Monday, 11.00 am–11.00 pm; Tuesday, 11.00 am–11.00 pm; Wednesday, 11.00 am–11.00 pm; Thursday, 11.00 am–11.00 pm; Friday, 11.00 am–11.00 pm; Saturday, 11.00 am–11.00 pm; Sunday, 11.00 am–11.00 pm}"
150,Kopine Eyang,,"Jl. Panembahan, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",8562551697,4.6,518,,"{Monday, 8.00 am–11.30 pm; Tuesday, 8.00 am–11.30 pm; Wednesday, 8.00 am–11.30 pm; Thursday, 8.00 am–11.30 pm; Friday, 8.00 am–11.30 pm; Saturday, 8.00 am–11.30 pm; Sunday, 8.00 am–11.30 pm}"
151,Kulik Coffee,Garden,"Jl. Tj. Raya, Jadan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82246052884,4.9,28,Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
152,Kupiku Coffee - Condong Catur,Umbulharjo,"Jl. Anggajaya 1 No.8, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",8985906105,4.6,"1,303",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
153,Kupiku Coffee - Mandala Krida,,"Jl. Sokonandi II No.9, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",8992266010,4.7,943,Cafe,"{Monday, 7.00 am–1.00 am; Tuesday, 7.00 am–1.00 am; Wednesday, 7.00 am–1.00 am; Thursday, 7.00 am–1.00 am; Friday, 7.00 am–1.00 am; Saturday, 7.00 am–1.00 am; Sunday, 7.00 am–1.00 am}"
154,Kyou Matcha Bar,Jogja,"Monjali St No.90, Kutu Dukuh, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",81127013878,4.9,884,Cafe,"{Monday, 7.00 am–2.00 am; Tuesday, 7.00 am–2.00 am; Wednesday, 7.00 am–2.00 am; Thursday, 7.00 am–2.00 am; Friday, 7.00 am–2.00 am; Saturday, 7.00 am–2.00 am; Sunday, 7.00 am–2.00 am}"
155,Lange Cafe,,"Jl. Pakuningratan No.9, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",,4.9,129,,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
156,Lantai Bumi,,"Jl. Pogung Baru, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",,4.4,"3,399",,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
157,Le Travail Coffee,,"Jl. Laksda Adisucipto No.19, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221",82133970457,4.5,671,Cafe,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
158,Legend Coffee,,"Jl. Abu Bakar Ali No.24-26, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",87705370974,4.4,"10,866",,"{Monday, 10.00 am–1.00 am; Tuesday, 10.00 am–1.00 am; Wednesday, 10.00 am–1.00 am; Thursday, 10.00 am–1.00 am; Friday, 10.00 am–1.00 am; Saturday, 10.00 am–1.00 am; Sunday, 10.00 am–1.00 am}"
159,Lizard Coffee Yogyakarta,,"Green Plaza, Ruko Jl. Godean No.Km. 2 Kav. 16, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",81250200300,4.7,163,,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, Closed}"
160,Loe Goe,,"Jl. Surirejo, Area Sawah, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",(0274)2878669,,,Cafe,"{Monday, Closed; Tuesday, 11.00 am–9.00 pm; Wednesday, 11.00 am–9.00 pm; Thursday, 11.00 am–9.00 pm; Friday, 11.00 am–9.00 pm; Saturday, 11.00 am–9.00 pm; Sunday, 11.00 am–9.00 pm}"
161,LOKIO Coffee & Eatery - Mangkubumi,,"Jl. Margo Utomo No.21, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",8895346650,4.8,113,,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
162,LOKIO Coffee & Eatery - Yogyatourium,,"Jl. Gedongkuning No.128, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",82219688811,4.7,211,,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
163,Loko Cafe - Stasiun Tugu,,"Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta",88802884398,4.1,218,,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
164,LOKO CAFE MALIOBORO,,"Komp. Ps. Kembang, Jl. Ps. Kembang, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",81410909860,4.5,"7,658",,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
165,Luke & Friends Coffee,,"Gg. Pangkur. 2, Jl. Kaliurang No.KM. 5, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",85962362576,4.8,65,Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
166,Lunaria Coffee Yogyakarta,,"Jl. Gedongkiwo No.29, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142",,4.6,"1,258",Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
167,Lussid Coffee,,"Jl. Taman Siswa No.95, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",,4.6,778,,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
168,Lvl Up Coffee,Sleman,"Jl. Sinduadi, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",85175403458,4.7,378,Cafe,"{Monday, 10.00 am–1.00 am; Tuesday, 10.00 am–1.00 am; Wednesday, 10.00 am–1.00 am; Thursday, 10.00 am–1.00 am; Friday, 10.00 am–1.00 am; Saturday, 10.00 am–1.00 am; Sunday, 10.00 am–1.00 am}"
169,Machia Social Space - Palagan,,"Jl. Palagan Tentara Pelajar, RW.5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81127013858,4.9,"1,569",Cafe,Open 24 Hours
170,Machia Social Space - Seturan,,"Jl. Seturan Square, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81120713889,5,"1,728",Cafe,Open 24 Hours
171,Mail Coffee,Murah,"Jl. Gn. Gamping, Gamping Tengah, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294",88227344641,4.6,29,Cafe,"{Monday, 3.00 pm–12.00 am; Tuesday, 3.00 pm–12.00 am; Wednesday, 3.00 pm–12.00 am; Thursday, 3.00 pm–12.00 am; Friday, 3.00 pm–12.00 am; Saturday, 3.00 pm–12.00 am; Sunday, 3.00 pm–12.00 am}"
172,Mamahké Jogja,Jogja,"KT 1 329 Kraton, Jl. Taman, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",8118063080,4.5,"2,393",Cafe,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
173,Mandala Roastery,,"Jl. Taman No.32, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",81262877771,4.9,115,,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
174,Mantra Bumi Coffee,,"No Jl. Parangtritis No.364, Pandes, Panggungharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55188",82220364946,4.4,"1,130",Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
175,mari_ngopi The Independent Coffee,murah,"59Q6+CPW, Jl. Ngadisuryan No.26b, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",,4.6,900,,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
176,Marko Milk and Coffee,murah,"Wates St KM.3 No.68, Sonosewu, Ngestiharjo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55182",,4.4,"3,712",,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
177,MASH,,"59X3+P9H, Jl. Prof. DR. Ki Amri Yahya, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55167",82146120617,5,47,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
178,Metropole Coffee,Umbulharjo,"Jl. Nitikan Baru No.18, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162",,4.5,377,Cafe,"{Monday, 12.00–10.00 pm; Tuesday, 12.00–10.00 pm; Wednesday, 12.00–10.00 pm; Thursday, 12.00–10.00 pm; Friday, 12.00–10.00 pm; Saturday, 12.00–10.00 pm; Sunday, 12.00–10.00 pm}"
179,mmmatcha Sudirman - Tugu Jogja,Jogja,"Jl. Jend. Sudirman No.23, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",81128509979,4.9,90,Cafe,"{Monday, 7.00 am–2.00 am; Tuesday, 7.00 am–2.00 am; Wednesday, 7.00 am–2.00 am; Thursday, 7.00 am–2.00 am; Friday, 7.00 am–2.00 am; Saturday, 7.00 am–2.00 am; Sunday, 7.00 am–2.00 am}"
180,Mohan Café,,"8929+V2P, Dekat, Kleben Moncosan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512",81325877887,4.7,251,Cafe,"{Monday, 9.00 am–9.00 pm; Tuesday, 9.00 am–9.00 pm; Wednesday, 9.00 am–9.00 pm; Thursday, 9.00 am–9.00 pm; Friday, 9.00 am–9.00 pm; Saturday, 9.00 am–9.00 pm; Sunday, 9.00 am–9.00 pm}"
181,Moikai Coffee,,"Jl. Taman Siswa No.27C, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",81228032298,4.6,211,Cafe,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
182,Mor Cafe & Beauty,Sleman,"Jl. Affandi No.27, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.8,225,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
183,Mr Like,,"Jl. Gambir, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",85175222343,4.6,676,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
184,My Kopi-O!,,"Jl. Candrakirana No.21, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",(0274)562883,4.6,"3,970",,"{Monday, 11.00 am–11.00 pm; Tuesday, 11.00 am–11.00 pm; Wednesday, 11.00 am–11.00 pm; Thursday, 11.00 am–11.00 pm; Friday, 11.00 am–11.00 pm; Saturday, 11.00 am–11.00 pm; Sunday, 11.00 am–11.00 pm}"
185,Nabe Coffee Kusuma,,"Jl. Kusumanegara No.11, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",,4.7,82,Cafe,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
186,Nabe Coffee Soragan,,"Jl. Soragan No.29, Soragan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87778928088,4.6,712,Cafe,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
187,Narawita Sanctuary Space,,"Jl. Anggrek, Blotan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",,4.5,437,Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
188,Naudi Coffee & Eatery,,"Jl. Pandega Marta Jl. Pogung Lor No.81, Pogung Lor, Sinduadi, Kec. Mlati, Kota Yogyakarta, Daerah Istimewa Yogyakarta",,4.8,65,Cafe,"{Monday, 7.30 am–11.00 pm; Tuesday, 7.30 am–11.00 pm; Wednesday, 7.30 am–11.00 pm; Thursday, 7.30 am–11.00 pm; Friday, 7.30 am–11.00 pm; Saturday, 7.30 am–11.00 pm; Sunday, 7.30 am–11.00 pm}"
189,NAWWA KOPI,,"Jl. Colombo No.30, RW.02, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",87716663977,4.7,363,Cafe,Open 24 Hours
190,Negra Coffee,,"Jl. Polowijan No.42, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132",85179666932,4.9,481,,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
191,Nest Coffee & Donuts,,"Jl. Ringroad Selatan, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",81391649697,4.6,"1,912",Cafe,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
